Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealers Discount from list,Proposed GSA Price (w/o IFF Fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Signamax,UFD12-B,72- to 288-Fiber Optical Fiber, $540.24 , $251.21 ,54%, $295.54 ,45%, $297.78 ,Made in U.S.A,1 Year
Signamax,UFD12-WH,12-Module Rack Mount Dist., $540.24 , $251.21 ,54%, $295.54 ,45%, $297.78 ,Made in U.S.A,1 Year
Signamax,UFD4-B,24- to 96-Fiber Optical Fiber, $430.00 , $199.95 ,54%, $235.24 ,45%, $237.01 ,Made in U.S.A,1 Year
Signamax,UFE12HD1-B,288-fiber premium rack-mount, $510.00 , $237.15 ,54%, $279.00 ,45%, $281.11 ,Made in U.S.A,1 Year
Signamax,UFE3F-B,3-Module Rack Mount Fiber, $160.00 , $74.40 ,54%, $87.53 ,45%, $88.19 ,Made in U.S.A,1 Year
Signamax,UFE3HD1-B,72-fiber premium rack-mount, $344.00 , $159.96 ,54%, $188.19 ,45%, $189.61 ,Made in U.S.A,1 Year
Signamax,UFE3HD-B,3-Adapter Plate HD Rack Mount, $244.00 , $113.46 ,54%, $133.48 ,45%, $134.49 ,Made in U.S.A,1 Year
Signamax,UFE3-WH,3-Module Rack Mount, $192.00 , $89.28 ,54%, $105.04 ,45%, $105.83 ,Made in U.S.A,1 Year
Signamax,UFE4-B,4-Module Rack Mount, $275.72 , $128.21 ,54%, $150.84 ,45%, $151.97 ,Made in U.S.A,1 Year
Signamax,UFE6-B,6-Module Rack Mount, $315.28 , $146.61 ,54%, $172.48 ,45%, $173.78 ,Made in U.S.A,1 Year
Signamax,UFE6HD1-B,144-fiber premium rack-mount, $394.00 , $183.21 ,54%, $215.54 ,45%, $217.17 ,Made in U.S.A,1 Year
Signamax,UFE6HD-B,6-Adapter Plate HD Rack Mount, $314.00 , $146.01 ,54%, $171.78 ,45%, $173.07 ,Made in U.S.A,1 Year
Signamax,UFE9HD1-B,216-fiber premium rack-mount, $438.00 , $203.67 ,54%, $239.61 ,45%, $241.42 ,Made in U.S.A,1 Year
Signamax,UFE9HD-B,9-Adapter Plate HD Rack Mount, $384.00 , $178.56 ,54%, $210.07 ,45%, $211.66 ,Made in U.S.A,1 Year
Signamax,UFE-B-06LC,6-Port (12 Fiber) LC MM, $57.00 , $26.51 ,54%, $31.18 ,45%, $31.42 ,Made in U.S.A,1 Year
Signamax,UFE-B-06LC-B,6-Port LC Connector Module, $7.30 , $3.39 ,54%, $3.99 ,45%, $4.02 ,Made in U.S.A,1 Year
Signamax,UFE-B-06LC-C,6-Port (12 Fiber) LC SM, $84.00 , $39.06 ,54%, $45.95 ,45%, $46.30 ,Made in U.S.A,1 Year
Signamax,UFE-B-06MTRJ,6-Port (12 Fiber) MT-RJ MM, $28.00 , $13.02 ,54%, $15.32 ,45%, $15.43 ,Made in U.S.A,1 Year
Signamax,UFE-B-06SC,6-Port (6 Fiber) SC MM, $28.50 , $13.25 ,54%, $15.59 ,45%, $15.71 ,Made in U.S.A,1 Year
Signamax,UFE-B-06SC-B,6-Port SC Connector Module, $7.60 , $3.53 ,54%, $4.16 ,45%, $4.19 ,Made in U.S.A,1 Year
Signamax,UFE-B-06SC-C,6-Port (6 Fiber) SC SM, $35.50 , $16.51 ,54%, $19.42 ,45%, $19.57 ,Made in U.S.A,1 Year
Signamax,UFE-B-06SCM,6 Port SC Multimode, $23.23 , $10.80 ,54%, $12.71 ,45%, $12.80 ,Made in U.S.A,1 Year
Signamax,UFE-B-06ST,6-Port (6 Fiber) ST MM, $26.00 , $12.09 ,54%, $14.22 ,45%, $14.33 ,Made in U.S.A,1 Year
Signamax,UFE-B-06ST-B,6-Port ST Blank Module Black, $7.60 , $3.53 ,54%, $4.16 ,45%, $4.19 ,Made in U.S.A,1 Year
Signamax,UFE-B-06ST-C,6-Port (6 Fiber) ST SM, $31.70 , $14.74 ,54%, $17.34 ,45%, $17.47 ,Made in U.S.A,1 Year
Signamax,UFE-B-08LC,8-Port (16 Fiber) LC MM, $73.00 , $33.95 ,54%, $39.94 ,45%, $40.24 ,Made in U.S.A,1 Year
Signamax,UFE-B-08LC-C,8-Port (16 Fiber) LC SM, $105.00 , $48.83 ,54%, $57.44 ,45%, $57.88 ,Made in U.S.A,1 Year
