Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Signamax,DIT-50V-RD,"Designation Icon Tabs, Voice", $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,DIT-50V-WH,"Designation Icon Tabs, Voice", $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,DIT-50V-YE,"Designation Icon Tabs, Voice", $6.00 , $2.79 ,54%, $3.26 ,46%, $3.29 ,US,1 Year
Signamax,DKF-12,12-Port Double Gang Faceplate, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-12-BK,12-Port Double Gang Keystone F, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-12-DI,12-Port Double Gang Faceplate, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-12-GY,12-Port Double Gang Keystone F, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-12-WH,12-Port Double Gang Faceplate, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-6,6-Port Double Gang Faceplate, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-6-BK,6-Port Double Gang Keystone Fa, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-6-DI,6-Port Double Gang Keystone, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-6-GY,6-Port Double Gang Keystone Fa, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-6-WH,6-Port Double Gang Faceplate, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-8,8-Port Double Gang Faceplate, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
Signamax,DKF-8-BK,8-Port Double Gang Faceplate, $2.10 , $0.98 ,54%, $1.14 ,46%, $1.15 ,US,1 Year
